"key","message","comment","context"
"Accepted",,,
"Address",,,
"Addresses",,,
"Apply taxes",,,
"Cancelled",,,
"City",,,
"Code",,,
"Configuration",,,
"Contact",,,
"Contacts",,,
"Countries",,,
"Country",,,
"Date of birth",,,
"Draft",,,
"Email",,,
"End Date",,,
"Event",,,
"Events",,,
"Family Members",,,
"Finished",,,
"First name",,,
"Full name",,,
"Last name",,,
"Meeting",,,
"Missing contact",,,
"N* / Street",,,
"Name",,,
"Notes",,,
"Other",,,
"Other informations",,,
"Phone call",,,
"Phone number",,,
"Planned for",,,
"Postponed",,,
"Profile",,,
"Profile picture",,,
"Proposed",,,
"Record created",,,
"Refused",,,
"Related sale order details",,,
"Start Date",,,
"Status",,,
"Title",,,
"Titles",,,
"Type",,,
"UserAddress",,,
"Zip",,,
"mainPanel",,,
